t,x,y,yaw,u,w
37.651,0.8494024053457815,0.34944776569405156,-1.1225353628854031,0.21202480594883746,-0.2996674938100074
37.701,0.8540952447309448,0.34012359689461413,-1.1371113125218963,0.231509492340633,-0.37191289493750723
37.751,0.858746731582674,0.33070174174560346,-1.1540697148170225,0.20718764831373654,-0.35855195435576137
37.801,0.8632539855034786,0.32151606229361324,-1.1713263829879532,0.22511203404381822,-0.446452956778034
37.851,0.8675755432621584,0.3120362737211096,-1.1920805119212752,0.2074548456005328,-0.44565761547689026
37.901,0.8716871438621447,0.3026558931579222,-1.2136721194277986,0.22566865611292286,-0.5349649620204079
37.951,0.8755842497138338,0.29284742755690396,-1.2389972292123332,0.2114210171243447,-0.5416976618068173
38.001,0.8792331846303463,0.28311287982527317,-1.265535718801861,0.22875476631874206,-0.6373804417262524
38.051,0.8825103878691514,0.2731087335958629,-1.295430802327603,0.21107444074318274,-0.6182277863043091
38.101,0.8854343635182653,0.2632302309490835,-1.3260509999740646,0.22150128901806218,-0.7419084740031608
38.151,0.887967269169974,0.253207177050561,-1.3611073396339515,0.20627776140413132,-0.7347235970261767
38.201,0.8901122509725417,0.24324603892809746,-1.3970880777288108,0.21586985319471633,-0.8609010235896563
38.251,0.8918070474580491,0.23336235662005558,-1.4378136531842212,0.19728617906992718,-0.8528588267659563
38.301,0.893063937229595,0.22365472967992087,-1.4795693793408633,0.2070082163951635,-0.9770135014228292
38.351,0.8938381055334792,0.21419570016997203,-1.5242773393377538,0.18437280346359858,-0.910057474613546
38.401,0.8941728084924909,0.20497186716796623,-1.5687474296029444,0.19417124080202955,-1.0310546686262723
38.451,0.8940650702465216,0.19598371936382797,-1.6134249037307213,0.1737119807672199,-0.8758734133021137
38.501,0.8935836191204026,0.18753688596744952,-1.6565940642601096,0.17763614045716833,-1.0086975008872956
38.551,0.8927254439341891,0.17940856956296267,-1.7005795948897577,0.159760957422908,-0.86470838118243
38.601,0.8915331303258333,0.17158278679659134,-1.7428500002670542,0.16948572559071656,-0.9884432943235157
38.651,0.8899783963579082,0.1637695332422643,-1.7857693413082836,0.15823351675782665,-0.8444334911000432
38.701,0.8880977461270683,0.1561564468467264,-1.8270215513309351,0.1678147654287494,-0.9705266038221964
38.751,0.8860497852527809,0.1491867008083221,-1.8690426953560981,0.13584156320454768,-0.8276297591946185
38.801,0.8838411961755592,0.14283410484091527,-1.909456563514439,0.14521461484206663,-0.955141784054012
38.851,0.8813291601817335,0.13645564418321818,-1.950749566373479,0.13711546504982078,-0.8142699253805858
38.901,0.878545552389463,0.13025926427423343,-1.9905033151174298,0.14622210344296444,-0.9423133856896916
38.951,0.8758360255702484,0.12483994151277138,-2.031236939263983,0.10970488757667177,-0.8043231417452128
39.001,0.8731479737751806,0.12012439862836059,-2.070507054287106,0.1184886872774591,-0.932053449234078
39.051,0.870306121626309,0.11553634113235167,-2.1108487776133793,0.10587203895725253,-0.7977618660602046
39.101,0.8673172069068673,0.11123029727850739,-2.149810244492431,0.11428149141224447,-0.9243680331019275
39.151,0.8640807865148907,0.10688107453228837,-2.1900334263999306,0.10922050368192598,-0.798130956250711
39.201,0.8606298842451126,0.10270817910279247,-2.2290380812748,0.11720513289151392,-0.9228237291261009
39.251,0.8575673055846504,0.09892798407487828,-2.2687475010915077,0.08642598829565333,-0.7832489196594431
39.301,0.8547567187039317,0.09564575319103519,-2.306882224858095,0.08642906634110122,-0.9187463863473345
39.351,0.8520958776389863,0.09277594251616764,-2.3463014403231868,0.0728385890842637,-0.7807316273810616
39.401,0.8495200524561507,0.09020146485807858,-2.384317427434765,0.0728411670572073,-0.9167901507570464
39.451,0.8468139535789253,0.08770662169598686,-2.4237164912443188,0.07413328223608051,-0.7815387157776852
39.501,0.8439975172474738,0.08529702135501262,-2.4617860508274743,0.07413591306310915,-0.9173414271261158
39.551,0.8419792018235932,0.08369469653334458,-2.501449082440907,0.036480967814361276,-0.7896711336413217
39.601,0.840505209996502,0.08262032024990199,-2.5399448523935284,0.03648228964083469,-0.924399327773887
39.651,0.8384710325957598,0.08126287636828206,-2.580061283368996,0.05738614899690771,-0.7991354010871573
39.701,0.8363917126371265,0.07976062149137145,-2.6192607829271513,0.057388263711581025,-0.9319505029360301
39.751,0.8353811370405484,0.07906652240983124,-2.6584838951386343,0.008425262019964842,-0.760201188625697
39.801,0.8350383597212383,0.07887454285523716,-2.6955645837936593,0.008425544140250842,-0.8902807903967662
39.851,0.833686175355096,0.07808319270509281,-2.729648706613229,0.04888334006839299,-0.6171813926481163
39.901,0.8315895006577562,0.07694581977886117,-2.759545693507367,0.05786482896956339,-0.7451721548392429
39.951,0.8312532905423603,0.07673322634383144,-2.7870193309004097,-0.020354447569615405,-0.49239954815899983
40.001,0.8321884571743386,0.0770806975323749,-2.8106253839969604,-0.020354757136260147,-0.6245970223749115
40.051,0.8314144661040114,0.0767449056725288,-2.832603698773789,0.04046117222866037,-0.394893418799607
40.101,0.8296024365996986,0.07599915485842385,-2.8513961567905244,0.04979756639923603,-0.522595031628619
40.151,0.8295675611048159,0.07599459329974353,-2.868086537250893,-0.024377552432804227,-0.2823113074806756
40.201,0.830682239515061,0.07644523419049398,-2.8812086607566867,-0.0337555221354644,-0.4096415404491547
40.251,0.8303614022445748,0.07633995805936278,-2.893154960363514,0.027578641625863903,-0.20084589157177085
40.301,0.8291269858562651,0.075887861695458,-2.9022504610465982,0.03707788226664505,-0.32772390607123725
40.351,0.8291752579774535,0.07590890869124696,-2.9099059513352676,-0.019158577203427358,-0.1084805042670106
40.401,0.8299644438200419,0.0762272212315494,-2.914574708008162,-0.028696762403210195,-0.2350413126954395
40.451,0.8299308313146047,0.07622737087415818,-2.9188073467856266,0.013300596163415676,-0.044502249829034765
40.501,0.8294895455453533,0.07605509018959665,-2.9211246732991514,0.022858407332137513,-0.170877456961302
40.551,0.8294849707272013,0.07605111194553299,-2.922984912854939,-0.0020437926501441963,-0.002732914148410353
40.601,0.8296838848804997,0.07612054269689665,-2.92373460327254,-0.017689486769799485,-0.0989342236638362
40.651,0.8297825278397598,0.07615499243957174,-2.9241593160349644,-1.1091437394464671e-30,-1.1581777850188882e-29
40.701,0.8297817204400588,0.07615481407460092,-2.924209117724605,0.00020671664559369948,-0.03312009539692584
40.751,0.8297901040797672,0.07615741699067995,-2.924139709014515,-1.1398524919382715e-30,-1.158185132268888e-29
40.801,0.8297988889595151,0.0761601102234659,-2.9240453954499057,-0.0020803628107329193,0.042610098484386405
40.851,0.8297904103094051,0.07615833418669765,-2.9231980886191273,-8.055814540708608e-31,-1.0509607183399145e-29
40.901,0.829777540812326,0.07615519980810079,-2.922397771461659,0.0009033500349941766,0.11191947325098674
40.951,0.829808329542412,0.07616227552754709,-2.9198905980966634,-0.0017223035885128531,0.041261050430632384
41.001,0.829852762829158,0.07617327851069297,-2.917696662942443,-0.0017223045214820954,0.17894115369113958
41.051,0.829783600031991,0.07615699136455868,-2.9118809150560736,0.0031640548316794765,0.141905266649108
41.101,0.8296384165810766,0.07612078302762969,-2.9058007396442673,0.0031640614208749552,0.2793506091442888
41.151,0.8295685631045462,0.07610324838495237,-2.897540049894442,0.0003864805613495094,0.16912956226766412
41.201,0.8295498191577149,0.07609854920817866,-2.8901031431782758,0.0003864815655930952,0.3061070139975445
41.251,0.8293197275611901,0.07603821799369762,-2.8778147830000678,0.007671319322738349,0.2854102560512621
41.301,0.8289497534695316,0.07593701897174017,-2.8645521541762164,0.0076713655102137145,0.42171492259497084
41.351,0.8286693033630448,0.07585618929910305,-2.8495655235586397,0.004614675713844222,0.29774451907584837
41.401,0.828448566155338,0.07578901163294093,-2.8356758563489683,0.004614705192869436,0.4329651030620293
41.451,0.8279395805629457,0.07562440593770478,-2.8180837360047915,0.014754917220265487,0.3764805170357978
41.501,0.8272497273644368,0.07538672754613382,-2.8002360712590018,0.014755058980757086,0.5103823711600974
41.551,0.826704729718462,0.07518611771944958,-2.774789737677562,0.009826990012632458,0.5857755505794993
41.601,0.8262473996581725,0.07500649190830426,-2.7464489061801953,0.009827194343661446,0.7176811191774468
